name,date_time,datum,height,lat,lon,quality_flags,sensor,sigma,station,water_surface_height_above_reference_datum,bad_station
"Duck, NC",2016-02-27T12:00:00Z,MLLW,5.663,36.1831,-75.7467,0;0;0;0,A1,0.203,8651370,0.293,False
"Oregon Inlet Marina, NC",2016-02-27T12:00:00Z,MLLW,0.788,35.7942,-75.5481,0;0;0;0,A1,0.003,8652587,0.022,False
"USCG Station Hatteras, NC",2016-02-27T12:00:00Z,MLLW,8.345,35.2086,-75.7042,0;0;0;0,A1,0.004,8654467,0.179,True
"Beaufort, NC",2016-02-27T12:00:00Z,MLLW,0.562,34.72,-76.67,0;0;0;0,A1,0.002,8656483,0.424,True
"Wilmington, NC",2016-02-27T12:00:00Z,MLLW,0.747,34.2275,-77.9536,0;0;0;0,A1,0.009,8658120,0.049,True
"Wrightsville Beach, NC",2016-02-27T12:00:00Z,MLLW,5.793,34.21,-77.7867,1;0;0;0,A1,0.058,8658163,0.629,False
"Springmaid Pier, SC",2016-02-27T12:00:00Z,MLLW,8.928,33.655,-78.9183,0;0;0;0,A1,0.055,8661070,0.8,False
"Oyster Landing (N Inlet Estuary), SC",2016-02-27T12:00:00Z,MLLW,1.215,33.3517,-79.1867,0;0;0;0,A1,0.004,8662245,0.58,False
"Charleston, SC",2016-02-27T12:00:00Z,MLLW,0.843,32.7817,-79.925,0;0;0;0,A1,0.011,8665530,0.778,False
"Fort Pulaski, GA",2016-02-27T12:00:00Z,MLLW,1.066,32.0367,-80.9017,0;0;0;0,A1,0.009,8670870,0.834,False
"Fernandina Beach, FL",2016-02-27T12:00:00Z,MLLW,0.518,30.6714,-81.4658,0;0;0;0,Y1,0.01,8720030,0.476,False
"Mayport (Bar Pilots Dock), FL",2016-02-27T12:00:00Z,MLLW,2.763,30.3981,-81.4278,0;0;0;0,A1,0.004,8720218,0.39,False
"Dames Point, FL",2016-02-27T12:00:00Z,MLLW,1.151,30.3872,-81.5592,0;0;0;0,A1,0.006,8720219,0.07,False
"Southbank Riverwalk, St Johns River, FL",2016-02-27T12:00:00Z,MLLW,-0.418,30.32,-81.6583,0;0;0;0,Y1,0.003,8720226,-0.032,False
"I-295 Bridge, St Johns River, FL",2016-02-27T12:00:00Z,MLLW,-0.198,30.1925,-81.6889,0;0;0;0,A1,0.0,8720357,-0.047,False
"Red Bay Point, St Johns River, FL",2016-02-27T12:00:00Z,MLLW,-0.175,29.9783,-81.6283,0;0;0;0,Y1,0.01,8720503,0.03,False
"Racy Point, St Johns River, FL",2016-02-27T12:00:00Z,MLLW,-0.191,29.8017,-81.5483,0;0;0;0,A1,0.008,8720625,0.19,False
"Trident Pier, FL",2016-02-27T12:00:00Z,MLLW,5.48,28.4158,-80.5931,0;0;0;0,A1,0.018,8721604,0.465,False
"Lake Worth Pier, FL",2016-02-27T12:00:00Z,MLLW,9.142,26.6117,-80.0333,1;0;0;0,A1,0.07,8722670,0.357,False
"Vaca Key, FL",2016-02-27T12:00:00Z,MLLW,0.775,24.7106,-81.1064,1;0;0;0,A1,0.002,8723970,0.23,False
"Key West, FL",2016-02-27T12:00:00Z,MLLW,1.39,24.5558,-81.8078,1;0;0;0,A1,0.006,8724580,0.164,False
"Naples, FL",2016-02-27T12:00:00Z,MLLW,0.653,26.1317,-81.8075,1;0;0;0,A1,0.069,8725110,0.343,False
"Fort Myers, FL",2016-02-27T12:00:00Z,MLLW,1.329,26.6475,-81.8711,1;0;0;0,A1,0.002,8725520,0.232,False
"Port Manatee, FL",2016-02-27T12:00:00Z,MLLW,0.062,27.6364,-82.5628,0;0;0;0,A1,0.024,8726384,0.19,False
"St Petersburg, FL",2016-02-27T12:00:00Z,MLLW,1.028,27.7611,-82.6269,1;0;0;0,Y1,0.003,8726520,0.247,True
"Old Port Tampa, FL",2016-02-27T12:00:00Z,MLLW,8.621,27.8578,-82.5519,0;0;0;0,A1,0.005,8726607,0.348,True
"Mckay Bay Entrance, FL",2016-02-27T12:00:00Z,MLLW,0.081,27.9136,-82.4244,0;0;0;0,A1,0.003,8726667,0.363,False
"Clearwater Beach, FL",2016-02-27T12:00:00Z,MLLW,0.528,27.9781,-82.8317,1;0;0;0,A1,0.069,8726724,0.21,False
