name,station,sensor,lat,lon,date_time,sea_water_temperature,bad_station
"Trout Cove, FL",enp.tcvf1.met,NA,25.2089996338,-80.5329971313,2015-00-08T12:00:00Z,32.9050369263,False
St Lucie Inlet station,fldep.stlucieinlet.,NA,27.1652774811,-80.1627807617,2015-00-08T12:00:00Z,28.8837242126,False
"White Water -West, FL",enp.wwef1.met,NA,25.2299995422,-80.9390029907,2015-00-08T12:00:00Z,32.0648078918,False
"Duck Key, FL",enp.dkkf1.met,NA,25.1800003052,-80.4899978638,2015-00-08T12:00:00Z,32.7516136169,False
"CORMP ILM3, Wrightsville Beach Offshore, NC",cormp.ilm3.buoy,NA,33.9878005981,-77.3635025024,2015-00-08T12:00:00Z,27.6246528625,False
"Broad River, FL",enp.bdvf1.met,NA,25.4759998322,-80.9899978638,2015-00-08T12:00:00Z,31.2445735931,False
"Willy Willy, FL",enp.wiwf1.met,NA,25.6189994812,-81.0439987183,2015-00-08T12:00:00Z,31.5259990692,False
"Cane Patch, FL",enp.canf1.met,NA,25.4200000763,-80.9430007935,2015-00-08T12:00:00Z,28.747133255,False
usf_c10_imet,usf.c10.imet,NA,27.1730003357,-82.9240036011,2015-35-08T11:35:00Z,-976.677612305,False
"CAROCOOPS SUN2, Sunset Nearshore, NC",carocoops.sun2.buoy,NA,33.8300018311,-78.4800033569,2015-08-08T12:08:00Z,28.731470108,False
Bing's Landing station,fldep.bingslanding.,NA,29.6154174805,-81.2049179077,2015-00-08T12:00:00Z,29.949048996,False
"Bob Allen, FL",enp.bobf1.met,NA,25.0240001678,-80.6819992065,2015-00-08T12:00:00Z,33.3674430847,False
"CAROCOOPS CAP2, Capers Island Nearshore, SC",carocoops.cap2.buoy,NA,32.7999992371,-79.6200027466,2015-08-08T12:08:00Z,28.5376377106,False
"Johnson Key, FL",enp.jkyf1.met,NA,25.0499992371,-80.9039993286,2015-00-08T12:00:00Z,32.7893791199,False
