name,date_time,datum,height,lat,lon,sensor,station,water_surface_height_above_reference_datum,bad_station
"Duck, NC",2015-08-08T12:00:00Z,MLLW,5.663,36.1833,-75.7467,A1,8651370,0.418,False
"Oregon Inlet Marina, NC",2015-08-08T12:00:00Z,MLLW,0.788,35.795,-75.5483,A1,8652587,0.184,False
"USCG Station Hatteras, NC",2015-08-08T12:00:00Z,MLLW,8.345,35.2086,-75.7042,A1,8654467,0.232,True
"Beaufort, NC",2015-08-08T12:00:00Z,MLLW,0.562,34.72,-76.67,A1,8656483,0.251,True
"Wilmington, NC",2015-08-08T12:00:00Z,MLLW,0.747,34.2267,-77.9533,A1,8658120,0.701,True
"Springmaid Pier, SC",2015-08-08T12:00:00Z,MLLW,8.928,33.655,-78.9183,A1,8661070,0.216,False
"Oyster Landing (N Inlet Estuary), SC",2015-08-08T12:00:00Z,MLLW,1.215,33.3517,-79.1867,A1,8662245,0.452,False
"Charleston, SC",2015-08-08T12:00:00Z,MLLW,0.843,32.7817,-79.925,A1,8665530,0.298,False
"Fort Pulaski, GA",2015-08-08T12:00:00Z,MLLW,1.066,32.0333,-80.9017,A1,8670870,0.534,False
"Fernandina Beach, FL",2015-08-08T12:00:00Z,MLLW,0.518,30.6717,-81.465,A1,8720030,0.468,False
"Mayport (Bar Pilots Dock), FL",2015-08-08T12:00:00Z,MLLW,2.763,30.3967,-81.43,A1,8720218,0.221,False
"Dames Point, FL",2015-08-08T12:00:00Z,MLLW,1.151,30.3867,-81.5583,A1,8720219,0.385,False
"Southbank Riverwalk, St Johns River, FL",2015-08-08T12:00:00Z,MLLW,-0.418,30.32,-81.6583,Y1,8720226,0.352,False
"I-295 Bridge, St Johns River, FL",2015-08-08T12:00:00Z,MLLW,-0.198,30.1917,-81.6917,A1,8720357,0.229,False
"Red Bay Point, St Johns River, FL",2015-08-08T12:00:00Z,MLLW,-0.175,29.9783,-81.6283,Y1,8720503,0.189,False
"Racy Point, St Johns River, FL",2015-08-08T12:00:00Z,MLLW,-0.191,29.8017,-81.5483,A1,8720625,0.19,False
"Trident Pier, FL",2015-08-08T12:00:00Z,MLLW,5.48,28.4158,-80.5931,A1,8721604,0.017,False
"Lake Worth Pier, FL",2015-08-08T12:00:00Z,MLLW,9.142,26.6117,-80.0333,A1,8722670,0.147,False
"Virginia Key, FL",2015-08-08T12:00:00Z,MLLW,3.096,25.7314,-80.1618,A1,8723214,0.353,False
"Vaca Key, FL",2015-08-08T12:00:00Z,MLLW,0.775,24.7117,-81.105,A1,8723970,0.485,False
"Key West, FL",2015-08-08T12:00:00Z,MLLW,1.39,24.5557,-81.8079,A1,8724580,0.514,False
"Naples, FL",2015-08-08T12:00:00Z,MLLW,0.653,26.1317,-81.8075,A1,8725110,1.026,False
"Fort Myers, FL",2015-08-08T12:00:00Z,MLLW,1.329,26.6477,-81.8712,A1,8725520,0.446,False
"Port Manatee, FL",2015-08-08T12:00:00Z,MLLW,0.062,27.6387,-82.5621,A1,8726384,0.887,False
"St Petersburg, FL",2015-08-08T12:00:00Z,MLLW,1.028,27.7606,-82.6269,A1,8726520,0.904,True
"Old Port Tampa, FL",2015-08-08T12:00:00Z,MLLW,8.621,27.8578,-82.5527,A1,8726607,0.945,True
"Clearwater Beach, FL",2015-08-08T12:00:00Z,MLLW,0.528,27.9783,-82.8317,A1,8726724,0.935,False
"Cedar Key, FL",2015-08-08T12:00:00Z,MLLW,0.55,29.135,-83.0317,A1,8727520,1.383,False
"Apalachicola, FL",2015-08-08T12:00:00Z,MLLW,1.307,29.7267,-84.9817,A1,8728690,0.595,False
"Panama City, FL",2015-08-08T12:00:00Z,MLLW,1.019,30.1523,-85.6669,A1,8729108,0.512,False
"Panama City Beach, FL",2015-08-08T12:00:00Z,MLLW,8.236,30.2133,-85.8783,A1,8729210,0.481,True
"Pensacola, FL",2015-08-08T12:00:00Z,MLLW,2.569,30.4044,-87.2112,A1,8729840,0.451,False
Tolomato River station,2015-00-08T12:00:00Z,,,29.9947223663,-81.3295593262,NA,fldep.tolomatoriver.,-0.154516220093,False
Vero Beach station,2015-00-08T14:00:00Z,,,27.6320552826,-80.3712234497,NA,fldep.verobeach.,-0.34576356411,False
Bing's Landing station,2015-00-08T12:00:00Z,,,29.6154174805,-81.2049179077,NA,fldep.bingslanding.,-0.0925398170948,False
Naples Bay station,2015-00-08T12:00:00Z,,,26.1417789459,-81.7900543213,NA,fldep.naplesbay.,0.0318584553897,False
St Lucie Inlet station,2015-00-08T12:00:00Z,,,27.1652774811,-80.1627807617,NA,fldep.stlucieinlet.,-1.09280049801,False
Binney Dock station,2015-00-08T12:00:00Z,,,27.467546463,-80.3008499146,NA,fldep.binneydock.,-0.374688267708,False
Ponce De Leon South station,2015-00-08T12:00:00Z,,,29.0634727478,-80.9160842896,NA,fldep.poncedeleonsouth.,-0.261372417212,False
