name,station,sensor,lat,lon,date_time,salinity,bad_station
"Mayport (Bar Pilots Dock), FL",8720218,SALINITY,30.3967,-81.43,2016-02-20T12:00:00Z,26.81,False
"Dames Point, FL",8720219,SALINITY,30.3867,-81.5583,2016-02-20T12:00:00Z,11.22,False
"Jacksonville University, FL",8720245,SALINITY,30.3541,-81.6118,2016-02-20T12:00:00Z,3.78,False
"I-295 Bridge, St Johns River, FL",8720357,SALINITY,30.1917,-81.6917,2016-02-20T12:00:00Z,0.41,False
"Red Bay Point, St Johns River, FL",8720503,SALINITY,29.9783,-81.6283,2016-02-20T12:00:00Z,0.2,False
"Racy Point, St Johns River, FL",8720625,SALINITY,29.8017,-81.5483,2016-02-20T12:00:00Z,0.39,False
Tolomato River station,fldep.tolomatoriver.,NA,29.9947223663,-81.3295593262,2016-00-20T12:00:00Z,28.2554588318,False
Fort Myers station,sccf.fortmyers.wq,NA,26.6493396759,-81.8809661865,2016-00-20T12:00:00Z,0.183695673943,False
Gulf of Mexico station,sccf.gulfofmexico.wq,NA,26.4430294037,-81.9711914062,2016-00-20T12:00:00Z,30.0418357849,False
St Lucie Inlet station,fldep.stlucieinlet.,NA,27.1652774811,-80.1627807617,2016-00-20T12:00:00Z,27.2214698792,False
Redfish Pass station,sccf.redfishpass.wq,NA,26.5615692139,-82.1754379272,2016-00-20T12:00:00Z,30.1438369751,False
"CAROCOOPS FRP2, Fripp Nearshore, SC",carocoops.frp2.buoy,NA,32.2700004578,-80.4000015259,2016-00-20T12:00:00Z,29.8712291718,False
usf_c10_imet,usf.c10.imet,NA,27.1730003357,-82.9240036011,2016-35-20T11:35:00Z,-20.2727279663,False
"CORMP ILM2, Wrightsville Beach Nearshore, NC",cormp.ilm2.buoy,NA,34.1333007812,-77.7166976929,2016-53-20T11:53:00Z,34.5763053894,False
Bing's Landing station,fldep.bingslanding.,NA,29.6154174805,-81.2049179077,2016-00-20T12:00:00Z,28.4615650177,False
"CAROCOOPS CAP2, Capers Island Nearshore, SC",carocoops.cap2.buoy,NA,32.7999992371,-79.6200027466,2016-08-20T12:08:00Z,22.3854484558,False
Shell Point station,sccf.shellpoint.wq,NA,26.5225639343,-82.0079879761,2016-00-20T12:00:00Z,14.1757040024,False
"CAROCOOPS SUN2, Sunset Nearshore, NC",carocoops.sun2.buoy,NA,33.8300018311,-78.4800033569,2016-08-20T12:08:00Z,30.2663955688,False
