name,station,sensor,lat,lon,date_time,salinity,bad_station
"Mayport (Bar Pilots Dock), FL",8720218,SALINITY,30.3967,-81.43,2016-05-14T12:00:00Z,29.39,False
"Dames Point, FL",8720219,SALINITY,30.3867,-81.5583,2016-05-14T12:00:00Z,18.57,False
"Jacksonville University, FL",8720245,SALINITY,30.3541,-81.6118,2016-05-14T12:00:00Z,11.34,False
"I-295 Bridge, St Johns River, FL",8720357,SALINITY,30.1917,-81.6917,2016-05-14T12:00:00Z,3.67,False
"Red Bay Point, St Johns River, FL",8720503,SALINITY,29.9783,-81.6283,2016-05-14T12:00:00Z,0.41,False
"Racy Point, St Johns River, FL",8720625,SALINITY,29.8017,-81.5483,2016-05-14T12:00:00Z,0.5,False
Tolomato River station,fldep.tolomatoriver.,NA,29.9947223663,-81.3295593262,2016-00-14T12:00:00Z,33.0633277893,False
Shell Point station,sccf.shellpoint.wq,NA,26.5225639343,-82.0079879761,2016-00-14T12:00:00Z,22.5941314697,False
Gulf of Mexico station,sccf.gulfofmexico.wq,NA,26.4430294037,-81.9711914062,2016-00-14T12:00:00Z,34.1163597107,False
St Lucie Inlet station,fldep.stlucieinlet.,NA,27.1652774811,-80.1627807617,2016-00-14T12:00:00Z,31.65666008,False
Redfish Pass station,sccf.redfishpass.wq,NA,26.5615692139,-82.1754379272,2016-00-14T12:00:00Z,33.6269950867,False
Fort Myers station,sccf.fortmyers.wq,NA,26.6493396759,-81.8809661865,2016-00-14T12:00:00Z,3.57177567482,False
"CAROCOOPS FRP2, Fripp Nearshore, SC",carocoops.frp2.buoy,NA,32.2700004578,-80.4000015259,2016-08-14T12:08:00Z,33.1747894287,False
"CAROCOOPS SUN2, Sunset Nearshore, NC",carocoops.sun2.buoy,NA,33.8300018311,-78.4800033569,2016-08-14T12:08:00Z,33.9152793884,False
Bing's Landing station,fldep.bingslanding.,NA,29.6154174805,-81.2049179077,2016-00-14T12:00:00Z,31.4061431885,False
Tarpon Bay station,sccf.tarponbay.wq,NA,26.4679069519,-82.0631027222,2016-00-14T12:00:00Z,30.8085403442,False
"CAROCOOPS CAP2, Capers Island Nearshore, SC",carocoops.cap2.buoy,NA,32.7999992371,-79.6200027466,2016-08-14T12:08:00Z,34.463886261,False
