name,date_time,lat,lon,quality_flags,sea_water_temperature,sensor,station,bad_station
"Duck, NC",2016-03-19T12:00:00Z,36.1833,-75.7467,0;0;0,12.0,E1,8651370,False
"Oregon Inlet Marina, NC",2016-03-19T12:00:00Z,35.795,-75.5483,0;0;0,15.1,E1,8652587,False
"USCG Station Hatteras, NC",2016-03-19T12:00:00Z,35.2086,-75.7042,0;0;0,17.3,E1,8654467,False
"Beaufort, NC",2016-03-19T12:00:00Z,34.72,-76.67,0;0;0,15.7,E1,8656483,False
"Wilmington, NC",2016-03-19T12:00:00Z,34.2267,-77.9533,0;0;0,18.5,E1,8658120,False
"Wrightsville Beach, NC",2016-03-19T12:00:00Z,34.2133,-77.7867,0;0;0,17.4,E1,8658163,False
"Springmaid Pier, SC",2016-03-19T12:00:00Z,33.655,-78.9183,0;0;0,14.9,E1,8661070,False
"Charleston, SC",2016-03-19T12:00:00Z,32.7817,-79.925,0;0;0,18.0,E1,8665530,False
"Fort Pulaski, GA",2016-03-19T12:00:00Z,32.0333,-80.9017,0;0;0,17.8,E1,8670870,False
"Fernandina Beach, FL",2016-03-19T12:00:00Z,30.6717,-81.465,0;0;0,17.9,E1,8720030,False
"Mayport (Bar Pilots Dock), FL",2016-03-19T12:00:00Z,30.3967,-81.43,0;0;0,17.8,E2,8720218,False
"Dames Point, FL",2016-03-19T12:00:00Z,30.3867,-81.5583,0;0;0,20.1,E2,8720219,False
"Jacksonville University, FL",2016-03-19T12:00:00Z,30.3541,-81.6118,0;0;0,21.5,E1,8720245,False
"I-295 Bridge, St Johns River, FL",2016-03-19T12:00:00Z,30.1917,-81.6917,0;0;0,22.2,E2,8720357,False
"Red Bay Point, St Johns River, FL",2016-03-19T12:00:00Z,29.9783,-81.6283,0;0;0,22.4,E1,8720503,False
"Racy Point, St Johns River, FL",2016-03-19T12:00:00Z,29.8017,-81.5483,0;0;0,22.9,E2,8720625,False
"Trident Pier, FL",2016-03-19T12:00:00Z,28.4158,-80.5931,0;0;0,23.1,E1,8721604,False
"Lake Worth Pier, FL",2016-03-19T12:00:00Z,26.6117,-80.0333,0;0;0,24.9,E1,8722670,False
"Virginia Key, FL",2016-03-19T12:00:00Z,25.7314,-80.1618,0;0;0,25.8,E1,8723214,False
"Vaca Key, FL",2016-03-19T12:00:00Z,24.7117,-81.105,0;0;0,26.8,E1,8723970,False
"Key West, FL",2016-03-19T12:00:00Z,24.5557,-81.8079,0;0;0,26.7,E1,8724580,False
"Naples, FL",2016-03-19T12:00:00Z,26.1317,-81.8075,0;0;0,25.2,E1,8725110,False
"Fort Myers, FL",2016-03-19T12:00:00Z,26.6477,-81.8712,0;0;0,26.8,E1,8725520,False
"Port Manatee, FL",2016-03-19T12:00:00Z,27.6387,-82.5621,0;0;0,24.0,E1,8726384,False
"St Petersburg, FL",2016-03-19T12:00:00Z,27.7606,-82.6269,0;0;0,23.5,E1,8726520,False
"Old Port Tampa, FL",2016-03-19T12:00:00Z,27.8578,-82.5527,0;0;0,24.3,E1,8726607,False
