name,date_time,datum,height,lat,lon,quality_flags,sensor,sigma,station,water_surface_height_above_reference_datum,bad_station
"Duck, NC",2016-02-13T12:00:00Z,MLLW,5.663,36.1831,-75.7467,0;0;0;0,A1,0.138,8651370,0.186,False
"Oregon Inlet Marina, NC",2016-02-13T12:00:00Z,MLLW,0.788,35.7942,-75.5481,0;0;0;0,A1,0.003,8652587,0.239,False
"USCG Station Hatteras, NC",2016-02-13T12:00:00Z,MLLW,8.345,35.2086,-75.7042,0;0;0;0,A1,0.006,8654467,0.407,True
"Beaufort, NC",2016-02-13T12:00:00Z,MLLW,0.562,34.72,-76.67,0;0;0;0,A1,0.002,8656483,0.264,True
"Wilmington, NC",2016-02-13T12:00:00Z,MLLW,0.747,34.2275,-77.9536,1;0;0;0,A1,0.003,8658120,0.44,True
"Wrightsville Beach, NC",2016-02-13T12:00:00Z,MLLW,5.793,34.21,-77.7867,1;0;0;0,A1,0.077,8658163,0.372,False
"Springmaid Pier, SC",2016-02-13T12:00:00Z,MLLW,8.928,33.655,-78.9183,0;0;0;0,A1,0.075,8661070,0.445,False
"Oyster Landing (N Inlet Estuary), SC",2016-02-13T12:00:00Z,MLLW,1.215,33.3517,-79.1867,0;0;0;0,A1,0.004,8662245,0.208,False
"Charleston, SC",2016-02-13T12:00:00Z,MLLW,0.843,32.7817,-79.925,0;0;0;0,A1,0.011,8665530,0.401,False
"Fort Pulaski, GA",2016-02-13T12:00:00Z,MLLW,1.066,32.0367,-80.9017,0;0;0;0,A1,0.008,8670870,0.39,False
"Fernandina Beach, FL",2016-02-13T12:00:00Z,MLLW,0.518,30.6714,-81.4658,0;0;0;0,Y1,0.008,8720030,0.253,False
"Mayport (Bar Pilots Dock), FL",2016-02-13T12:00:00Z,MLLW,2.763,30.3981,-81.4278,0;0;0;0,A1,0.005,8720218,0.242,False
"Dames Point, FL",2016-02-13T12:00:00Z,MLLW,1.151,30.3872,-81.5592,0;0;0;0,A1,0.009,8720219,0.053,False
"Southbank Riverwalk, St Johns River, FL",2016-02-13T12:00:00Z,MLLW,-0.418,30.32,-81.6583,0;0;0;0,Y1,0.003,8720226,0.084,False
"I-295 Bridge, St Johns River, FL",2016-02-13T12:00:00Z,MLLW,-0.198,30.1925,-81.6889,0;0;0;0,A1,0.001,8720357,0.096,False
"Red Bay Point, St Johns River, FL",2016-02-13T12:00:00Z,MLLW,-0.175,29.9783,-81.6283,0;0;0;0,Y1,0.012,8720503,0.216,False
"Racy Point, St Johns River, FL",2016-02-13T12:00:00Z,MLLW,-0.191,29.8017,-81.5483,0;0;0;0,A1,0.012,8720625,0.398,False
"Trident Pier, FL",2016-02-13T12:00:00Z,MLLW,5.48,28.4158,-80.5931,1;0;0;0,A1,0.004,8721604,0.239,False
"Lake Worth Pier, FL",2016-02-13T12:00:00Z,MLLW,9.142,26.6117,-80.0333,1;0;0;0,A1,0.029,8722670,0.2,False
"Vaca Key, FL",2016-02-13T12:00:00Z,MLLW,0.775,24.7106,-81.1064,1;0;0;0,A1,0.001,8723970,0.329,False
"Key West, FL",2016-02-13T12:00:00Z,MLLW,1.39,24.5558,-81.8078,1;0;0;0,A1,0.004,8724580,0.168,False
"Naples, FL",2016-02-13T12:00:00Z,MLLW,0.653,26.1317,-81.8075,1;0;0;0,A1,0.045,8725110,0.533,False
"Fort Myers, FL",2016-02-13T12:00:00Z,MLLW,1.329,26.6475,-81.8711,0;0;0;0,A1,0.0,8725520,0.421,False
"Port Manatee, FL",2016-02-13T12:00:00Z,MLLW,0.062,27.6364,-82.5628,1;0;0;0,A1,0.004,8726384,0.464,False
"St Petersburg, FL",2016-02-13T12:00:00Z,MLLW,1.028,27.7611,-82.6269,1;0;0;0,Y1,0.001,8726520,0.54,True
"Old Port Tampa, FL",2016-02-13T12:00:00Z,MLLW,8.621,27.8578,-82.5519,0;0;0;0,A1,0.003,8726607,0.65,True
"Mckay Bay Entrance, FL",2016-02-13T12:00:00Z,MLLW,0.081,27.9136,-82.4244,0;0;0;0,A1,0.002,8726667,0.685,False
"Clearwater Beach, FL",2016-02-13T12:00:00Z,MLLW,0.528,27.9781,-82.8317,0;0;0;0,A1,0.066,8726724,0.415,False
"Cedar Key, FL",2016-02-13T12:00:00Z,MLLW,0.55,29.1339,-83.0308,0;0;0;0,A1,0.003,8727520,0.863,False
"Apalachicola, FL",2016-02-13T12:00:00Z,MLLW,1.307,29.7244,-84.9806,0;0;0;0,A1,0.0,8728690,0.395,False
"Panama City, FL",2016-02-13T12:00:00Z,MLLW,1.019,30.1522,-85.6669,1;0;0;0,A1,0.006,8729108,0.078,False
"Panama City Beach, FL",2016-02-13T12:00:00Z,MLLW,8.236,30.2139,-85.8786,0;0;0;0,A1,0.064,8729210,0.042,True
"Pensacola, FL",2016-02-13T12:00:00Z,MLLW,2.569,30.4044,-87.2111,1;0;0;0,A1,0.005,8729840,0.081,False
Tolomato River station,2016-00-13T12:00:00Z,,,29.9947223663,-81.3295593262,,NA,,fldep.tolomatoriver.,-0.179287523031,False
Bing's Landing station,2016-58-13T11:58:00Z,,,29.6154174805,-81.2049179077,,NA,,fldep.bingslanding.,-0.111932106316,False
Naples Bay station,2016-00-13T12:00:00Z,,,26.1417789459,-81.7900543213,,NA,,fldep.naplesbay.,-0.120893873274,False
St Lucie Inlet station,2016-00-13T12:00:00Z,,,27.1652774811,-80.1627807617,,NA,,fldep.stlucieinlet.,-0.311158835888,False
Binney Dock station,2016-00-13T12:00:00Z,,,27.467546463,-80.3008499146,,NA,,fldep.binneydock.,-0.315380394459,False
Ponce De Leon South station,2016-00-13T12:00:00Z,,,29.0634727478,-80.9160842896,,NA,,fldep.poncedeleonsouth.,-0.257306605577,False
