name,date_time,datum,height,lat,lon,quality_flags,sensor,sigma,station,water_surface_height_above_reference_datum,bad_station
"Duck, NC",2016-03-19T12:00:00Z,MLLW,5.663,36.1831,-75.7467,0;0;0;0,A1,0.121,8651370,0.76,False
"Oregon Inlet Marina, NC",2016-03-19T12:00:00Z,MLLW,0.788,35.7942,-75.5481,0;0;0;0,B1,0.005,8652587,0.378,False
"USCG Station Hatteras, NC",2016-03-19T12:00:00Z,MLLW,8.345,35.2086,-75.7042,1;0;0;0,A1,0.001,8654467,0.331,True
"Beaufort, NC",2016-03-19T12:00:00Z,MLLW,0.562,34.72,-76.67,0;0;0;0,A1,0.002,8656483,0.932,True
"Wilmington, NC",2016-03-19T12:00:00Z,MLLW,0.747,34.2275,-77.9536,0;0;0;0,A1,0.001,8658120,1.607,True
"Wrightsville Beach, NC",2016-03-19T12:00:00Z,MLLW,5.793,34.21,-77.7867,1;0;0;0,A1,0.095,8658163,0.979,False
"Springmaid Pier, SC",2016-03-19T12:00:00Z,MLLW,8.928,33.6556,-78.9164,0;0;0;0,A1,0.09,8661070,1.226,False
"Charleston, SC",2016-03-19T12:00:00Z,MLLW,0.843,32.7817,-79.925,1;0;0;0,A1,0.006,8665530,1.582,False
"Fort Pulaski, GA",2016-03-19T12:00:00Z,MLLW,1.066,32.0367,-80.9017,0;0;0;0,A1,0.104,8670870,1.925,False
"Fernandina Beach, FL",2016-03-19T12:00:00Z,MLLW,0.518,30.6714,-81.4658,0;0;0;0,Y1,0.007,8720030,1.941,False
"Mayport (Bar Pilots Dock), FL",2016-03-19T12:00:00Z,MLLW,2.763,30.3982,-81.4279,1;0;0;0,A1,0.008,8720218,1.457,False
"Dames Point, FL",2016-03-19T12:00:00Z,MLLW,1.151,30.3872,-81.5592,1;0;0;0,A1,0.001,8720219,1.174,False
"Southbank Riverwalk, St Johns River, FL",2016-03-19T12:00:00Z,MLLW,-0.418,30.32,-81.6583,0;0;0;0,B1,0.002,8720226,0.652,False
"I-295 Bridge, St Johns River, FL",2016-03-19T12:00:00Z,MLLW,-0.198,30.1925,-81.6889,1;0;0;0,A1,0.002,8720357,0.356,False
"Red Bay Point, St Johns River, FL",2016-03-19T12:00:00Z,MLLW,-0.175,29.9783,-81.6283,0;0;0;0,Y1,0.003,8720503,0.209,False
"Racy Point, St Johns River, FL",2016-03-19T12:00:00Z,MLLW,-0.191,29.8017,-81.5483,1;0;0;0,A1,0.002,8720625,0.094,False
"Trident Pier, FL",2016-03-19T12:00:00Z,MLLW,5.48,28.4158,-80.5931,0;0;0;0,A1,0.011,8721604,1.035,False
"Lake Worth Pier, FL",2016-03-19T12:00:00Z,MLLW,9.142,26.6128,-80.0333,1;0;0;0,A1,0.064,8722670,0.892,False
"Virginia Key, FL",2016-03-19T12:00:00Z,MLLW,3.096,25.7314,-80.1617,1;0;0;0,A1,0.005,8723214,0.741,False
"Vaca Key, FL",2016-03-19T12:00:00Z,MLLW,0.775,24.7106,-81.1064,1;0;0;0,A1,0.001,8723970,0.193,False
"Key West, FL",2016-03-19T12:00:00Z,MLLW,1.39,24.5558,-81.8078,1;0;0;0,A1,0.008,8724580,0.486,False
"Fort Myers, FL",2016-03-19T12:00:00Z,MLLW,1.329,26.6475,-81.8711,1;0;0;0,A1,0.002,8725520,0.179,False
"Port Manatee, FL",2016-03-19T12:00:00Z,MLLW,0.062,27.6364,-82.5628,0;0;0;0,A1,0.01,8726384,0.22,False
"St Petersburg, FL",2016-03-19T12:00:00Z,MLLW,1.028,27.7611,-82.6269,1;0;0;0,Y1,0.009,8726520,0.132,True
