name,date_time,datum,height,lat,lon,quality_flags,sensor,sigma,station,water_surface_height_above_reference_datum,bad_station
"Apalachicola, FL",2016-05-07T12:00:00Z,MLLW,1.307,29.7244,-84.9806,0;0;0;0,A1,0.0,8728690,0.483,False
"Beaufort, NC",2016-05-07T12:00:00Z,MLLW,0.562,34.72,-76.67,1;0;0;0,A1,0.001,8656483,1.312,False
"Cedar Key, FL",2016-05-07T12:00:00Z,MLLW,0.55,29.1339,-83.0308,1;0;0;0,A1,0.002,8727520,0.461,False
"Charleston, SC",2016-05-07T12:00:00Z,MLLW,0.843,32.7817,-79.925,1;0;0;0,A1,0.004,8665530,1.866,False
"Clearwater Beach, FL",2016-05-07T12:00:00Z,MLLW,0.528,27.9781,-82.8317,0;0;0;0,A1,0.059,8726724,0.529,False
"Dames Point, FL",2016-05-07T12:00:00Z,MLLW,1.151,30.3872,-81.5592,1;0;0;0,A1,0.008,8720219,0.973,False
"Duck, NC",2016-05-07T12:00:00Z,MLLW,5.663,36.1831,-75.7467,1;0;0;0,A1,0.156,8651370,1.378,False
"Fernandina Beach, FL",2016-05-07T12:00:00Z,MLLW,0.518,30.6714,-81.4658,0;0;0;0,Y1,0.014,8720030,1.801,False
"Fort Myers, FL",2016-05-07T12:00:00Z,MLLW,1.329,26.6475,-81.8711,0;0;0;0,A1,0.002,8725520,0.308,False
"Fort Pulaski, GA",2016-05-07T12:00:00Z,MLLW,1.066,32.0367,-80.9017,0;0;0;0,A1,0.007,8670870,2.376,False
"I-295 Bridge, St Johns River, FL",2016-05-07T12:00:00Z,MLLW,-0.198,30.1925,-81.6889,1;0;0;0,A1,0.001,8720357,0.196,False
"Key West, FL",2016-05-07T12:00:00Z,MLLW,1.39,24.5558,-81.8078,1;0;0;0,A1,0.008,8724580,0.604,False
"Lake Worth Pier, FL",2016-05-07T12:00:00Z,MLLW,9.142,26.6128,-80.0333,0;0;0;0,A1,0.057,8722670,1.145,False
"Mayport (Bar Pilots Dock), FL",2016-05-07T12:00:00Z,MLLW,2.763,30.3982,-81.4279,1;0;0;0,A1,0.013,8720218,1.448,False
"Mckay Bay Entrance, FL",2016-05-07T12:00:00Z,MLLW,0.081,27.9139,-82.4244,0;0;0;0,A1,0.001,8726667,0.413,False
"Naples, FL",2016-05-07T12:00:00Z,MLLW,0.653,26.1317,-81.8075,0;0;0;0,A1,0.087,8725110,0.466,False
"Old Port Tampa, FL",2016-05-07T12:00:00Z,MLLW,8.621,27.8578,-82.5519,1;0;0;0,A1,0.002,8726607,0.381,True
"Oregon Inlet Marina, NC",2016-05-07T12:00:00Z,MLLW,0.788,35.795,-75.5481,1;0;0;0,A1,0.001,8652587,0.603,False
"Oyster Landing (N Inlet Estuary), SC",2016-05-07T12:00:00Z,MLLW,1.215,33.3517,-79.1867,0;0;0;0,A1,0.004,8662245,1.401,False
"Panama City Beach, FL",2016-05-07T12:00:00Z,MLLW,8.236,30.2139,-85.8786,0;0;0;0,A1,0.034,8729210,0.529,True
"Panama City, FL",2016-05-07T12:00:00Z,MLLW,1.019,30.1522,-85.6669,1;0;0;0,A1,0.004,8729108,0.472,False
"Pensacola, FL",2016-05-07T12:00:00Z,MLLW,2.569,30.4044,-87.2111,1;0;0;0,A1,0.003,8729840,0.439,False
"Port Manatee, FL",2016-05-07T12:00:00Z,MLLW,0.062,27.6364,-82.5628,1;0;0;0,A1,0.014,8726384,0.362,False
"Racy Point, St Johns River, FL",2016-05-07T12:00:00Z,MLLW,-0.191,29.8017,-81.5483,1;0;0;0,A1,0.006,8720625,0.24,False
"Red Bay Point, St Johns River, FL",2016-05-07T12:00:00Z,MLLW,-0.175,29.9783,-81.6283,1;0;0;0,Y1,0.01,8720503,0.172,False
"Southbank Riverwalk, St Johns River, FL",2016-05-07T12:00:00Z,MLLW,-0.418,30.32,-81.6583,0;0;0;0,Y1,0.01,8720226,0.459,False
"Springmaid Pier, SC",2016-05-07T12:00:00Z,MLLW,8.928,33.6556,-78.9164,1;0;0;0,A1,0.073,8661070,1.93,False
"St Petersburg, Tampa Bay, FL",2016-05-07T12:00:00Z,MLLW,1.028,27.7611,-82.6269,1;0;0;0,Y1,0.002,8726520,0.346,False
"Trident Pier, FL",2016-05-07T12:00:00Z,MLLW,5.48,28.4158,-80.5931,0;0;0;0,A1,0.014,8721604,1.346,False
"USCG Station Hatteras, NC",2016-05-07T12:00:00Z,MLLW,8.345,35.2086,-75.7042,0;0;0;0,A1,0.001,8654467,0.471,True
"Vaca Key, FL",2016-05-07T12:00:00Z,MLLW,0.775,24.7106,-81.1064,1;0;0;0,A1,0.003,8723970,0.407,False
"Virginia Key, FL",2016-05-07T12:00:00Z,MLLW,3.096,25.7314,-80.1617,1;0;0;0,A1,0.006,8723214,0.719,False
"Wilmington, NC",2016-05-07T12:00:00Z,MLLW,0.747,34.2275,-77.9536,0;0;0;0,A1,0.004,8658120,1.258,True
"Wrightsville Beach, NC",2016-05-07T12:00:00Z,MLLW,5.793,34.21,-77.7867,1;0;0;0,A1,0.085,8658163,1.637,False
Tolomato River station,2016-00-07T12:00:00Z,,,29.9947223663,-81.3295593262,,NA,,fldep.tolomatoriver.,-0.184067696333,False
Bing's Landing station,2016-00-07T12:00:00Z,,,29.6154174805,-81.2049179077,,NA,,fldep.bingslanding.,-0.0754180178046,False
Naples Bay station,2016-00-07T12:00:00Z,,,26.1417789459,-81.7900543213,,NA,,fldep.naplesbay.,-0.0197581779212,False
St Lucie Inlet station,2016-00-07T12:00:00Z,,,27.1652774811,-80.1627807617,,NA,,fldep.stlucieinlet.,-0.379380702972,False
Binney Dock station,2016-00-07T12:00:00Z,,,27.467546463,-80.3008499146,,NA,,fldep.binneydock.,-0.357137441635,False
Ponce De Leon South station,2016-00-07T12:00:00Z,,,29.0634727478,-80.9160842896,,NA,,fldep.poncedeleonsouth.,-0.283475250006,False
