name,date_time,datum,height,lat,lon,quality_flags,sensor,sigma,station,water_surface_height_above_reference_datum,bad_station
"Duck, NC",2015-12-05T12:00:00Z,MLLW,5.663,36.1831,-75.7467,1;0;0;0,A1,0.143,8651370,0.323,False
"Oregon Inlet Marina, NC",2015-12-05T12:00:00Z,MLLW,0.788,35.7942,-75.5481,1;0;0;0,A1,0.002,8652587,0.074,False
"USCG Station Hatteras, NC",2015-12-05T12:00:00Z,MLLW,8.345,35.2086,-75.7042,1;0;0;0,A1,0.002,8654467,0.234,True
"Beaufort, NC",2015-12-05T12:00:00Z,MLLW,0.562,34.72,-76.67,1;0;0;0,A1,0.002,8656483,0.537,True
"Wilmington, NC",2015-12-05T12:00:00Z,MLLW,0.747,34.2267,-77.9533,0;0;0;0,A1,0.002,8658120,1.234,True
"Wrightsville Beach, NC",2015-12-05T12:00:00Z,MLLW,5.793,34.21,-77.7867,0;0;0;0,A1,0.159,8658163,0.66,False
"Springmaid Pier, SC",2015-12-05T12:00:00Z,MLLW,8.928,33.655,-78.9183,0;0;0;0,A1,0.115,8661070,0.97,False
"Oyster Landing (N Inlet Estuary), SC",2015-12-05T12:00:00Z,MLLW,1.215,33.3517,-79.1867,0;0;0;0,A1,0.003,8662245,1.304,False
"Charleston, SC",2015-12-05T12:00:00Z,MLLW,0.843,32.7817,-79.925,0;0;0;0,A1,0.008,8665530,1.225,False
"Fort Pulaski, GA",2015-12-05T12:00:00Z,MLLW,1.066,32.0367,-80.9017,0;0;0;0,A1,0.053,8670870,1.542,False
"Fernandina Beach, FL",2015-12-05T12:00:00Z,MLLW,0.518,30.6714,-81.4658,0;0;0;0,A1,0.004,8720030,1.763,False
"Mayport (Bar Pilots Dock), FL",2015-12-05T12:00:00Z,MLLW,2.763,30.3981,-81.4278,1;0;0;0,A1,0.01,8720218,1.347,False
"Dames Point, FL",2015-12-05T12:00:00Z,MLLW,1.151,30.3872,-81.5592,1;0;0;0,A1,0.003,8720219,1.269,False
"Southbank Riverwalk, St Johns River, FL",2015-12-05T12:00:00Z,MLLW,-0.418,30.32,-81.6583,1;0;0;0,Y1,0.003,8720226,0.901,False
"I-295 Bridge, St Johns River, FL",2015-12-05T12:00:00Z,MLLW,-0.198,30.1925,-81.6889,1;0;0;0,A1,0.001,8720357,0.699,False
"Racy Point, St Johns River, FL",2015-12-05T12:00:00Z,MLLW,-0.191,29.8017,-81.5483,1;0;0;0,A1,0.013,8720625,0.662,False
"Trident Pier, FL",2015-12-05T12:00:00Z,MLLW,5.48,28.4158,-80.5931,1;0;0;0,A1,0.02,8721604,0.873,False
"Lake Worth Pier, FL",2015-12-05T12:00:00Z,MLLW,9.142,26.6117,-80.0333,0;0;0;0,A1,0.19,8722670,0.717,False
"Virginia Key, FL",2015-12-05T12:00:00Z,MLLW,3.096,25.7314,-80.1617,1;0;0;0,A1,0.009,8723214,0.554,False
"Vaca Key, FL",2015-12-05T12:00:00Z,MLLW,0.775,24.7106,-81.1064,1;0;0;0,A1,0.001,8723970,0.259,False
"Key West, FL",2015-12-05T12:00:00Z,MLLW,1.39,24.5558,-81.8078,1;0;0;0,A1,0.007,8724580,0.45,False
"Naples, FL",2015-12-05T12:00:00Z,MLLW,0.653,26.1317,-81.8075,1;0;0;0,A1,0.054,8725110,0.552,False
"Fort Myers, FL",2015-12-05T12:00:00Z,MLLW,1.329,26.6475,-81.8711,0;0;0;0,A1,0.005,8725520,0.01,False
"Port Manatee, FL",2015-12-05T12:00:00Z,MLLW,0.062,27.6364,-82.5628,0;0;0;0,A1,0.034,8726384,0.23,False
"St Petersburg, FL",2015-12-05T12:00:00Z,MLLW,1.028,27.7611,-82.6269,0;0;0;0,A1,0.013,8726520,0.191,True
"Old Port Tampa, FL",2015-12-05T12:00:00Z,MLLW,8.621,27.8578,-82.5519,0;0;0;0,A1,0.013,8726607,0.178,True
"Mckay Bay Entrance, FL",2015-12-05T12:00:00Z,MLLW,0.081,27.9136,-82.4244,1;0;0;0,A1,0.003,8726667,0.23,False
"Clearwater Beach, FL",2015-12-05T12:00:00Z,MLLW,0.528,27.9781,-82.8317,0;0;0;0,A1,0.047,8726724,0.419,False
"Cedar Key, FL",2015-12-05T12:00:00Z,MLLW,0.55,29.1344,-83.0311,1;0;0;0,A1,0.002,8727520,0.425,False
"Panama City Beach, FL",2015-12-05T12:00:00Z,MLLW,8.236,30.2139,-85.8786,0;0;0;0,A1,0.024,8729210,0.104,True
"Pensacola, FL",2015-12-05T12:00:00Z,MLLW,2.569,30.4044,-87.2111,1;0;0;0,A1,0.003,8729840,0.168,False
Bing's Landing station,2015-00-05T12:00:00Z,,,29.6154174805,-81.2049179077,,NA,,fldep.bingslanding.,0.18470069766,False
Tolomato River station,2015-00-05T12:00:00Z,,,29.9947223663,-81.3295593262,,NA,,fldep.tolomatoriver.,0.121879070997,False
St Lucie Inlet station,2015-00-05T12:00:00Z,,,27.1652774811,-80.1627807617,,NA,,fldep.stlucieinlet.,-0.0608273409307,False
Binney Dock station,2015-00-05T12:00:00Z,,,27.467546463,-80.3008499146,,NA,,fldep.binneydock.,-0.0558270998299,False
Ponce De Leon South station,2015-00-05T12:00:00Z,,,29.0634727478,-80.9160842896,,NA,,fldep.poncedeleonsouth.,0.0374679639935,False
