name,date_time,datum,height,lat,lon,quality_flags,sensor,sigma,station,water_surface_height_above_reference_datum,bad_station
"Duck, NC",2015-12-12T12:00:00Z,MLLW,5.663,36.1831,-75.7467,1;0;0;0,A1,0.136,8651370,1.208,True
"Oregon Inlet Marina, NC",2015-12-12T12:00:00Z,MLLW,0.788,35.7942,-75.5481,1;0;0;0,A1,0.002,8652587,0.444,False
"USCG Station Hatteras, NC",2015-12-12T12:00:00Z,MLLW,8.345,35.2086,-75.7042,1;0;0;0,A1,0.001,8654467,0.268,True
"Beaufort, NC",2015-12-12T12:00:00Z,MLLW,0.562,34.72,-76.67,0;0;0;0,A1,0.002,8656483,1.181,True
"Wrightsville Beach, NC",2015-12-12T12:00:00Z,MLLW,5.793,34.21,-77.7867,0;0;0;0,A1,0.112,8658163,1.463,True
"Springmaid Pier, SC",2015-12-12T12:00:00Z,MLLW,8.928,33.655,-78.9183,0;0;0;0,A1,0.09,8661070,1.824,False
"Oyster Landing (N Inlet Estuary), SC",2015-12-12T12:00:00Z,MLLW,1.215,33.3517,-79.1867,0;0;0;0,A1,0.004,8662245,1.306,True
"Charleston, SC",2015-12-12T12:00:00Z,MLLW,0.843,32.7817,-79.925,1;0;0;0,A1,0.004,8665530,1.806,False
"Fort Pulaski, GA",2015-12-12T12:00:00Z,MLLW,1.066,32.0367,-80.9017,0;0;0;0,A1,0.011,8670870,2.295,False
"Fernandina Beach, FL",2015-12-12T12:00:00Z,MLLW,0.518,30.6714,-81.4658,0;0;0;0,A1,0.005,8720030,1.747,False
"Mayport (Bar Pilots Dock), FL",2015-12-12T12:00:00Z,MLLW,2.763,30.3981,-81.4278,1;0;0;0,A1,0.007,8720218,1.414,True
"Dames Point, FL",2015-12-12T12:00:00Z,MLLW,1.151,30.3872,-81.5592,1;0;0;0,A1,0.006,8720219,1.041,True
"Southbank Riverwalk, St Johns River, FL",2015-12-12T12:00:00Z,MLLW,-0.418,30.32,-81.6583,0;0;0;0,Y1,0.007,8720226,0.545,False
"I-295 Bridge, St Johns River, FL",2015-12-12T12:00:00Z,MLLW,-0.198,30.1925,-81.6889,1;0;0;0,A1,0.001,8720357,0.255,False
"Red Bay Point, St Johns River, FL",2015-12-12T12:00:00Z,MLLW,-0.175,29.9783,-81.6283,1;0;0;0,Y1,0.002,8720503,0.225,False
"Racy Point, St Johns River, FL",2015-12-12T12:00:00Z,MLLW,-0.191,29.8017,-81.5483,1;0;0;0,A1,0.001,8720625,0.283,False
"Trident Pier, FL",2015-12-12T12:00:00Z,MLLW,5.48,28.4158,-80.5931,1;0;0;0,A1,0.006,8721604,1.367,False
"Lake Worth Pier, FL",2015-12-12T12:00:00Z,MLLW,9.142,26.6117,-80.0333,0;0;0;0,A1,0.105,8722670,1.11,False
"Virginia Key, FL",2015-12-12T12:00:00Z,MLLW,3.096,25.7314,-80.1617,1;0;0;0,A1,0.006,8723214,0.649,False
"Vaca Key, FL",2015-12-12T12:00:00Z,MLLW,0.775,24.7106,-81.1064,1;0;0;0,A1,0.002,8723970,0.173,False
