name,date_time,datum,height,lat,lon,quality_flags,sensor,sigma,station,water_surface_height_above_reference_datum,bad_station
"Duck, NC",2015-11-14T12:00:00Z,MLLW,5.663,36.1831,-75.7467,1;0;0;0,A1,0.199,8651370,1.048,False
"Oregon Inlet Marina, NC",2015-11-14T12:00:00Z,MLLW,0.788,35.7942,-75.5481,1;0;0;0,A1,0.005,8652587,0.448,False
"USCG Station Hatteras, NC",2015-11-14T12:00:00Z,MLLW,8.345,35.2086,-75.7042,0;0;0;0,A1,0.004,8654467,0.525,True
"Beaufort, NC",2015-11-14T12:00:00Z,MLLW,0.562,34.72,-76.67,1;0;0;0,A1,0.003,8656483,0.997,True
"Wilmington, NC",2015-11-14T12:00:00Z,MLLW,0.747,34.2267,-77.9533,0;0;0;0,A1,0.007,8658120,0.562,True
"Wrightsville Beach, NC",2015-11-14T12:00:00Z,MLLW,5.793,34.21,-77.7867,1;0;0;0,A1,0.053,8658163,1.261,False
"Springmaid Pier, SC",2015-11-14T12:00:00Z,MLLW,8.928,33.655,-78.9183,1;0;0;0,A1,0.051,8661070,1.435,False
"Oyster Landing (N Inlet Estuary), SC",2015-11-14T12:00:00Z,MLLW,1.215,33.3517,-79.1867,0;0;0;0,A1,0.004,8662245,0.993,False
"Charleston, SC",2015-11-14T12:00:00Z,MLLW,0.843,32.7817,-79.925,0;0;0;0,A1,0.005,8665530,1.49,False
"Fort Pulaski, GA",2015-11-14T12:00:00Z,MLLW,1.066,32.0367,-80.9017,0;0;0;0,A1,0.005,8670870,1.857,False
"Fernandina Beach, FL",2015-11-14T12:00:00Z,MLLW,0.518,30.6714,-81.4658,0;0;0;0,A1,0.005,8720030,1.432,False
"Mayport (Bar Pilots Dock), FL",2015-11-14T12:00:00Z,MLLW,2.763,30.3981,-81.4278,1;0;0;0,A1,0.006,8720218,1.172,False
"Dames Point, FL",2015-11-14T12:00:00Z,MLLW,1.151,30.3872,-81.5592,1;0;0;0,A1,0.004,8720219,0.77,False
"Southbank Riverwalk, St Johns River, FL",2015-11-14T12:00:00Z,MLLW,-0.418,30.32,-81.6583,0;0;0;0,Y1,0.007,8720226,0.326,False
"I-295 Bridge, St Johns River, FL",2015-11-14T12:00:00Z,MLLW,-0.198,30.1925,-81.6889,1;0;0;0,A1,0.003,8720357,0.159,False
"Red Bay Point, St Johns River, FL",2015-11-14T12:00:00Z,MLLW,-0.175,29.9783,-81.6283,0;0;0;0,Y1,0.015,8720503,0.203,False
"Racy Point, St Johns River, FL",2015-11-14T12:00:00Z,MLLW,-0.191,29.8017,-81.5483,1;0;0;0,A1,0.015,8720625,0.328,False
"Trident Pier, FL",2015-11-14T12:00:00Z,MLLW,5.48,28.4158,-80.5931,1;0;0;0,A1,0.009,8721604,1.087,False
"Lake Worth Pier, FL",2015-11-14T12:00:00Z,MLLW,9.142,26.6117,-80.0333,0;0;0;0,A1,0.079,8722670,0.831,False
"Virginia Key, FL",2015-11-14T12:00:00Z,MLLW,3.096,25.7314,-80.1617,1;0;0;0,A1,0.004,8723214,0.481,False
"Vaca Key, FL",2015-11-14T12:00:00Z,MLLW,0.775,24.7106,-81.1064,1;0;0;0,A1,0.001,8723970,0.207,False
"Key West, FL",2015-11-14T12:00:00Z,MLLW,1.39,24.5558,-81.8078,1;0;0;0,A1,0.006,8724580,0.307,False
"Naples, FL",2015-11-14T12:00:00Z,MLLW,0.653,26.1317,-81.8075,0;0;0;0,A1,0.044,8725110,-0.028,False
"Fort Myers, FL",2015-11-14T12:00:00Z,MLLW,1.329,26.6475,-81.8711,0;0;0;0,A1,0.006,8725520,0.332,False
"Port Manatee, FL",2015-11-14T12:00:00Z,MLLW,0.062,27.6364,-82.5628,1;0;0;0,A1,0.029,8726384,0.022,False
"St Petersburg, FL",2015-11-14T12:00:00Z,MLLW,1.028,27.7611,-82.6269,0;0;0;0,A1,0.009,8726520,0.144,True
"Old Port Tampa, FL",2015-11-14T12:00:00Z,MLLW,8.621,27.8578,-82.5519,0;0;0;0,A1,0.006,8726607,0.219,True
"Mckay Bay Entrance, FL",2015-11-14T12:00:00Z,MLLW,0.081,27.9136,-82.4244,0;0;0;0,A1,0.006,8726667,0.2,False
"Clearwater Beach, FL",2015-11-14T12:00:00Z,MLLW,0.528,27.9781,-82.8317,0;0;0;0,A1,0.072,8726724,-0.119,False
"Cedar Key, FL",2015-11-14T12:00:00Z,MLLW,0.55,29.1344,-83.0311,0;0;0;0,A1,0.003,8727520,0.049,False
"Apalachicola, FL",2015-11-14T12:00:00Z,MLLW,1.307,29.7244,-84.9806,0;0;0;0,A1,0.001,8728690,0.22,False
"Panama City, FL",2015-11-14T12:00:00Z,MLLW,1.019,30.1522,-85.6669,1;0;0;0,A1,0.004,8729108,-0.006,False
"Panama City Beach, FL",2015-11-14T12:00:00Z,MLLW,8.236,30.2139,-85.8786,0;0;0;0,A1,0.006,8729210,-0.007,True
"Pensacola, FL",2015-11-14T12:00:00Z,MLLW,2.569,30.4044,-87.2111,1;0;0;0,A1,0.005,8729840,0.141,False
Tolomato River station,2015-00-14T12:00:00Z,,,29.9947223663,-81.3295593262,,NA,,fldep.tolomatoriver.,-0.0155168455094,False
Vero Beach station,2015-00-18T23:00:00Z,,,27.6320552826,-80.3712234497,,NA,,fldep.verobeach.,-0.564666628838,False
Bing's Landing station,2015-00-14T12:00:00Z,,,29.6154174805,-81.2049179077,,NA,,fldep.bingslanding.,0.0171963404864,False
Naples Bay station,2015-54-14T11:54:00Z,,,26.1417789459,-81.7900543213,,NA,,fldep.naplesbay.,0.0223863646388,False
St Lucie Inlet station,2015-00-14T12:00:00Z,,,27.1652774811,-80.1627807617,,NA,,fldep.stlucieinlet.,-0.25008392334,False
Binney Dock station,2015-00-14T12:00:00Z,,,27.467546463,-80.3008499146,,NA,,fldep.binneydock.,-0.231696099043,False
Ponce De Leon South station,2015-00-14T12:00:00Z,,,29.0634727478,-80.9160842896,,NA,,fldep.poncedeleonsouth.,-0.108240775764,False
