name,station,sensor,lat,lon,date_time,salinity,bad_station
"Mayport (Bar Pilots Dock), FL",8720218,SALINITY,30.3967,-81.43,2016-01-16T12:00:00Z,21.72,False
"Dames Point, FL",8720219,SALINITY,30.3867,-81.5583,2016-01-16T12:00:00Z,11.7,False
"Jacksonville University, FL",8720245,SALINITY,30.3541,-81.6118,2016-01-16T12:00:00Z,8.92,False
"I-295 Bridge, St Johns River, FL",8720357,SALINITY,30.1917,-81.6917,2016-01-16T12:00:00Z,2.93,False
"Red Bay Point, St Johns River, FL",8720503,SALINITY,29.9783,-81.6283,2016-01-16T12:00:00Z,0.38,False
"Racy Point, St Johns River, FL",8720625,SALINITY,29.8017,-81.5483,2016-01-16T12:00:00Z,0.44,False
Tolomato River station,fldep.tolomatoriver.,NA,29.9947223663,-81.3295593262,2016-54-15T19:54:00Z,-30.770406723,False
Fort Myers station,sccf.fortmyers.wq,NA,26.6493396759,-81.8809661865,2016-30-15T19:30:00Z,1.46117138863,False
Gulf of Mexico station,sccf.gulfofmexico.wq,NA,26.4430294037,-81.9711914062,2016-30-15T19:30:00Z,30.1451511383,False
St Lucie Inlet station,fldep.stlucieinlet.,NA,27.1652774811,-80.1627807617,2016-54-15T19:54:00Z,31.0466384888,False
Redfish Pass station,sccf.redfishpass.wq,NA,26.5615692139,-82.1754379272,2016-30-15T19:30:00Z,32.0380859375,False
"CAROCOOPS FRP2, Fripp Nearshore, SC",carocoops.frp2.buoy,NA,32.2700004578,-80.4000015259,2016-00-16T20:00:00Z,1.71992397308,False
usf_c10_imet,usf.c10.imet,NA,27.1730003357,-82.9240036011,2016-35-15T19:35:00Z,34.3244132996,False
"CORMP ILM2, Wrightsville Beach Nearshore, NC",cormp.ilm2.buoy,NA,34.1333007812,-77.7166976929,2016-38-20T16:38:00Z,34.6867713928,False
Bing's Landing station,fldep.bingslanding.,NA,29.6154174805,-81.2049179077,2016-54-15T19:54:00Z,30.2624378204,False
"CAROCOOPS CAP2, Capers Island Nearshore, SC",carocoops.cap2.buoy,NA,32.7999992371,-79.6200027466,2016-08-16T20:08:00Z,31.4366893768,False
Shell Point station,sccf.shellpoint.wq,NA,26.5225639343,-82.0079879761,2016-00-15T19:00:00Z,19.2889728546,False
"CAROCOOPS SUN2, Sunset Nearshore, NC",carocoops.sun2.buoy,NA,33.8300018311,-78.4800033569,2016-08-16T20:08:00Z,32.351764679,False
