name,date_time,datum,height,lat,lon,quality_flags,sensor,sigma,station,water_surface_height_above_reference_datum,bad_station
"Duck, NC",2016-01-16T12:00:00Z,MLLW,5.663,36.1831,-75.7467,1;0;0;0,A1,0.271,8651370,0.254,False
"Oregon Inlet Marina, NC",2016-01-16T12:00:00Z,MLLW,0.788,35.7942,-75.5481,0;0;0;0,A1,0.006,8652587,0.495,False
"USCG Station Hatteras, NC",2016-01-16T12:00:00Z,MLLW,8.345,35.2086,-75.7042,1;0;0;0,A1,0.003,8654467,0.395,True
"Beaufort, NC",2016-01-16T12:00:00Z,MLLW,0.562,34.72,-76.67,1;0;0;0,A1,0.002,8656483,0.035,True
"Wilmington, NC",2016-01-16T12:00:00Z,MLLW,0.747,34.2275,-77.9536,0;0;0;0,A1,0.004,8658120,0.374,True
"Springmaid Pier, SC",2016-01-16T12:00:00Z,MLLW,8.928,33.655,-78.9183,1;0;0;0,A1,0.082,8661070,-0.24,False
"Oyster Landing (N Inlet Estuary), SC",2016-01-16T12:00:00Z,MLLW,1.215,33.3517,-79.1867,0;0;0;0,A1,0.002,8662245,-0.205,False
"Charleston, SC",2016-01-16T12:00:00Z,MLLW,0.843,32.7817,-79.925,1;0;0;0,A1,0.004,8665530,-0.14,False
"Fort Pulaski, GA",2016-01-16T12:00:00Z,MLLW,1.066,32.0367,-80.9017,0;0;0;0,A1,0.007,8670870,-0.074,False
"Fernandina Beach, FL",2016-01-16T12:00:00Z,MLLW,0.518,30.6714,-81.4658,0;0;0;0,Y1,0.003,8720030,-0.021,False
"Mayport (Bar Pilots Dock), FL",2016-01-16T12:00:00Z,MLLW,2.763,30.3981,-81.4278,1;0;0;0,A1,0.006,8720218,-0.011,False
"Dames Point, FL",2016-01-16T12:00:00Z,MLLW,1.151,30.3872,-81.5592,0;0;0;0,A1,0.005,8720219,0.13,False
"Southbank Riverwalk, St Johns River, FL",2016-01-16T12:00:00Z,MLLW,-0.418,30.32,-81.6583,0;0;0;0,Y1,0.004,8720226,0.175,False
"I-295 Bridge, St Johns River, FL",2016-01-16T12:00:00Z,MLLW,-0.198,30.1925,-81.6889,1;0;0;0,A1,0.001,8720357,0.157,False
"Red Bay Point, St Johns River, FL",2016-01-16T12:00:00Z,MLLW,-0.175,29.9783,-81.6283,1;0;0;0,Y1,0.004,8720503,0.264,False
"Racy Point, St Johns River, FL",2016-01-16T12:00:00Z,MLLW,-0.191,29.8017,-81.5483,1;0;0;0,A1,0.001,8720625,0.361,False
"Trident Pier, FL",2016-01-16T12:00:00Z,MLLW,5.48,28.4158,-80.5931,0;0;0;0,A1,0.01,8721604,0.156,False
"Lake Worth Pier, FL",2016-01-16T12:00:00Z,MLLW,9.142,26.6117,-80.0333,1;0;0;0,A1,0.039,8722670,0.252,False
"Key West, FL",2016-01-16T12:00:00Z,MLLW,1.39,24.5558,-81.8078,1;0;0;0,A1,0.01,8724580,0.245,False
"Naples, FL",2016-01-16T12:00:00Z,MLLW,0.653,26.1317,-81.8075,0;0;0;0,A1,0.081,8725110,0.789,False
"Fort Myers, FL",2016-01-16T12:00:00Z,MLLW,1.329,26.6475,-81.8711,1;0;0;0,A1,0.001,8725520,0.514,False
"Port Manatee, FL",2016-01-16T12:00:00Z,MLLW,0.062,27.6364,-82.5628,0;0;0;0,A1,0.007,8726384,0.617,False
"Old Port Tampa, FL",2016-01-16T12:00:00Z,MLLW,8.621,27.8578,-82.5519,1;0;0;0,A1,0.002,8726607,0.748,True
"Mckay Bay Entrance, FL",2016-01-16T12:00:00Z,MLLW,0.081,27.9136,-82.4244,0;0;0;0,A1,0.002,8726667,0.801,False
"Clearwater Beach, FL",2016-01-16T12:00:00Z,MLLW,0.528,27.9781,-82.8317,0;0;0;0,A1,0.111,8726724,0.663,False
"Cedar Key, FL",2016-01-16T12:00:00Z,MLLW,0.55,29.1344,-83.0311,1;0;0;0,A1,0.003,8727520,1.101,False
"Apalachicola, FL",2016-01-16T12:00:00Z,MLLW,1.307,29.7244,-84.9806,1;0;0;0,A1,0.0,8728690,0.574,False
"Panama City, FL",2016-01-16T12:00:00Z,MLLW,1.019,30.1522,-85.6669,1;0;0;0,A1,0.01,8729108,0.427,False
"Panama City Beach, FL",2016-01-16T12:00:00Z,MLLW,8.236,30.2139,-85.8786,0;0;0;0,A1,0.175,8729210,0.362,True
"Pensacola, FL",2016-01-16T12:00:00Z,MLLW,2.569,30.4044,-87.2111,1;0;0;0,A1,0.003,8729840,0.4,False
Tolomato River station,2016-54-15T19:54:00Z,,,29.9947223663,-81.3295593262,,NA,,fldep.tolomatoriver.,-0.247265398502,False
Bing's Landing station,2016-54-15T19:54:00Z,,,29.6154174805,-81.2049179077,,NA,,fldep.bingslanding.,-0.161942198873,False
Naples Bay station,2016-54-15T19:54:00Z,,,26.1417789459,-81.7900543213,,NA,,fldep.naplesbay.,-0.121954545379,False
St Lucie Inlet station,2016-54-15T19:54:00Z,,,27.1652774811,-80.1627807617,,NA,,fldep.stlucieinlet.,-0.33837980032,False
Binney Dock station,2016-54-15T19:54:00Z,,,27.467546463,-80.3008499146,,NA,,fldep.binneydock.,-0.346490949392,False
Ponce De Leon South station,2016-54-15T19:54:00Z,,,29.0634727478,-80.9160842896,,NA,,fldep.poncedeleonsouth.,-0.330894857645,False
