name,date_time,lat,lon,quality_flags,sea_water_temperature,sensor,station,bad_station
"Duck, NC",2016-01-16T12:00:00Z,36.1833,-75.7467,0;0;0,11.7,E1,8651370,False
"Oregon Inlet Marina, NC",2016-01-16T12:00:00Z,35.795,-75.5483,0;0;0,9.9,E1,8652587,False
"USCG Station Hatteras, NC",2016-01-16T12:00:00Z,35.2086,-75.7042,0;0;0,14.6,E1,8654467,False
"Beaufort, NC",2016-01-16T12:00:00Z,34.72,-76.67,0;0;0,10.8,E1,8656483,False
"Wilmington, NC",2016-01-16T12:00:00Z,34.2267,-77.9533,0;0;0,8.9,E1,8658120,False
"Springmaid Pier, SC",2016-01-16T12:00:00Z,33.655,-78.9183,0;0;0,12.5,E1,8661070,False
"Charleston, SC",2016-01-16T12:00:00Z,32.7817,-79.925,0;0;0,12.9,E1,8665530,False
"Fort Pulaski, GA",2016-01-16T12:00:00Z,32.0333,-80.9017,0;0;0,10.8,E1,8670870,False
"Mayport (Bar Pilots Dock), FL",2016-01-16T12:00:00Z,30.3967,-81.43,0;0;0,15.3,E2,8720218,False
"Dames Point, FL",2016-01-16T12:00:00Z,30.3867,-81.5583,0;0;0,14.9,E2,8720219,False
"Jacksonville University, FL",2016-01-16T12:00:00Z,30.3541,-81.6118,0;0;0,14.2,E1,8720245,False
"I-295 Bridge, St Johns River, FL",2016-01-16T12:00:00Z,30.1917,-81.6917,0;0;0,14.4,E2,8720357,False
"Red Bay Point, St Johns River, FL",2016-01-16T12:00:00Z,29.9783,-81.6283,0;0;0,14.5,E1,8720503,False
"Racy Point, St Johns River, FL",2016-01-16T12:00:00Z,29.8017,-81.5483,0;0;0,14.7,E2,8720625,False
"Trident Pier, FL",2016-01-16T12:00:00Z,28.4158,-80.5931,0;0;0,19.4,E1,8721604,False
"Lake Worth Pier, FL",2016-01-16T12:00:00Z,26.6117,-80.0333,0;0;0,24.3,E1,8722670,False
"Virginia Key, FL",2016-01-16T12:00:00Z,25.7314,-80.1618,0;0;0,21.1,E1,8723214,False
"Key West, FL",2016-01-16T12:00:00Z,24.5557,-81.8079,0;0;0,22.7,E1,8724580,False
"Naples, FL",2016-01-16T12:00:00Z,26.1317,-81.8075,0;0;0,19.1,E1,8725110,False
"Fort Myers, FL",2016-01-16T12:00:00Z,26.6477,-81.8712,0;0;0,18.8,E1,8725520,False
"Port Manatee, FL",2016-01-16T12:00:00Z,27.6387,-82.5621,0;0;0,17.3,E1,8726384,False
"Old Port Tampa, FL",2016-01-16T12:00:00Z,27.8578,-82.5527,0;0;0,16.8,E1,8726607,False
"Mckay Bay Entrance, FL",2016-01-16T12:00:00Z,27.9133,-82.425,0;0;0,18.8,E1,8726667,False
"Clearwater Beach, FL",2016-01-16T12:00:00Z,27.9783,-82.8317,0;0;0,16.6,E1,8726724,False
"Cedar Key, FL",2016-01-16T12:00:00Z,29.135,-83.0317,0;0;0,13.6,E1,8727520,False
"Apalachicola, FL",2016-01-16T12:00:00Z,29.7267,-84.9817,0;0;0,12.8,E1,8728690,False
"Panama City, FL",2016-01-16T12:00:00Z,30.1523,-85.6669,0;0;0,15.6,E1,8729108,False
"Panama City Beach, FL",2016-01-16T12:00:00Z,30.2133,-85.8783,0;0;0,17.1,E1,8729210,False
"Pensacola, FL",2016-01-16T12:00:00Z,30.4044,-87.2112,0;0;0,12.9,E1,8729840,False
Tolomato River station,2016-54-15T19:54:00Z,29.9947223663,-81.3295593262,,13.968085289,NA,fldep.tolomatoriver.,False
Fort Myers station,2016-30-15T19:30:00Z,26.6493396759,-81.8809661865,,17.4761257172,NA,sccf.fortmyers.wq,False
"Broad River Lower, FL",2016-00-15T19:00:00Z,25.4839992523,-81.111000061,,17.9278717041,NA,enp.lbrf1.met,False
"Clear Water Pass, FL ",2016-00-15T19:00:00Z,25.2950000763,-81.0130004883,,17.4596385956,NA,enp.cwaf1.met,False
Gulf of Mexico station,2016-30-15T19:30:00Z,26.4430294037,-81.9711914062,,17.5495204926,NA,sccf.gulfofmexico.wq,False
"Little Madeira, FL",2016-00-15T19:00:00Z,25.1739997864,-80.6320037842,,18.2586078644,NA,enp.lmdf1.met,False
"Taylor River, FL",2016-00-15T19:00:00Z,25.2229995728,-80.6529998779,,18.1921672821,NA,enp.trrf1.met,False
Redfish Pass station,2016-30-15T19:30:00Z,26.5615692139,-82.1754379272,,16.5185527802,NA,sccf.redfishpass.wq,False
"Little Rabbit Key, FL",2016-00-15T19:00:00Z,24.9790000916,-80.8259963989,,16.5353164673,NA,enp.lrkf1.met,False
"Peterson Key, FL",2016-00-15T19:00:00Z,24.9169998169,-80.7460021973,,17.9317874908,NA,enp.pkyf1.met,False
"Highway Creek, FL",2016-00-15T19:00:00Z,25.2539997101,-80.4440002441,,17.9247741699,NA,enp.hcef1.met,False
"CAROCOOPS FRP2, Fripp Nearshore, SC",2016-00-16T20:00:00Z,32.2700004578,-80.4000015259,,-17.1449260712,NA,carocoops.frp2.buoy,False
"CORMP ILM2, Wrightsville Beach Nearshore, NC",2016-38-20T16:38:00Z,34.1333007812,-77.7166976929,,12.4431676865,NA,cormp.ilm2.buoy,False
"Murray Key, FL",2016-00-15T19:00:00Z,25.1040000916,-80.9420013428,,17.1350440979,NA,enp.mukf1.met,False
"Gunboat Island, FL",2016-00-15T19:00:00Z,25.3759994507,-81.0289993286,,18.0378341675,NA,enp.gbif1.met,False
"Cannon Bay, FL",2016-00-15T19:00:00Z,25.7000007629,-81.1859970093,,18.1378440857,NA,enp.cnbf1.met,False
"Blackwater Sound, FL",2016-00-15T19:00:00Z,25.1770000458,-80.43800354,,18.9879455566,NA,enp.bwsf1.met,False
"Butternut Key, FL",2016-00-15T19:00:00Z,25.0869998932,-80.5189971924,,17.7979316711,NA,enp.bnkf1.met,False
Shell Point station,2016-00-15T19:00:00Z,26.5225639343,-82.0079879761,,16.9288024902,NA,sccf.shellpoint.wq,False
"Whipray Basin, FL",2016-00-15T19:00:00Z,25.0769996643,-80.7279968262,,17.1526832581,NA,enp.wrbf1.met,False
"Garfield Bight, FL",2016-00-15T19:00:00Z,25.1700000763,-80.7969970703,,17.3695430756,NA,enp.gbtf1.met,False
"Little Blackwater, FL",2016-00-15T19:00:00Z,25.2119998932,-80.4329986572,,18.2454128265,NA,enp.lbsf1.met,False
"Lane River, FL ",2016-00-15T19:00:00Z,25.2840003967,-80.8939971924,,18.0335903168,NA,enp.lrif1.met,False
"Trout Cove, FL",2016-00-15T19:00:00Z,25.2089996338,-80.5329971313,,17.6910095215,NA,enp.tcvf1.met,False
St Lucie Inlet station,2016-54-15T19:54:00Z,27.1652774811,-80.1627807617,,19.4352092743,NA,fldep.stlucieinlet.,False
"White Water -West, FL",2016-00-15T19:00:00Z,25.2299995422,-80.9390029907,,17.8218326569,NA,enp.wwef1.met,False
"Duck Key, FL",2016-00-15T19:00:00Z,25.1800003052,-80.4899978638,,17.7982711792,NA,enp.dkkf1.met,False
"Broad River, FL",2016-00-15T19:00:00Z,25.4759998322,-80.9899978638,,17.3727722168,NA,enp.bdvf1.met,False
"Willy Willy, FL",2016-00-15T19:00:00Z,25.6189994812,-81.0439987183,,17.374464035,NA,enp.wiwf1.met,False
"Cane Patch, FL",2016-00-15T19:00:00Z,25.4200000763,-80.9430007935,,17.316696167,NA,enp.canf1.met,False
usf_c10_imet,2016-35-15T19:35:00Z,27.1730003357,-82.9240036011,,20.0690155029,NA,usf.c10.imet,False
"CAROCOOPS SUN2, Sunset Nearshore, NC",2016-08-16T20:08:00Z,33.8300018311,-78.4800033569,,12.4549274445,NA,carocoops.sun2.buoy,False
Bing's Landing station,2016-54-15T19:54:00Z,29.6154174805,-81.2049179077,,14.9282007217,NA,fldep.bingslanding.,False
"Bob Allen, FL",2016-00-15T19:00:00Z,25.0240001678,-80.6819992065,,17.8535881042,NA,enp.bobf1.met,False
"CAROCOOPS CAP2, Capers Island Nearshore, SC",2016-08-16T20:08:00Z,32.7999992371,-79.6200027466,,13.1359558105,NA,carocoops.cap2.buoy,False
"Johnson Key, FL",2016-00-15T19:00:00Z,25.0499992371,-80.9039993286,,16.5328426361,NA,enp.jkyf1.met,False
