name,date_time,datum,height,lat,lon,quality_flags,sensor,sigma,station,water_surface_height_above_reference_datum,bad_station
"Duck, NC",2016-01-30T12:00:00Z,MLLW,5.663,36.1831,-75.7467,0;0;0;0,A1,0.176,8651370,0.44,False
"Oregon Inlet Marina, NC",2016-01-30T12:00:00Z,MLLW,0.788,35.7942,-75.5481,0;0;0;0,A1,0.002,8652587,0.225,False
"USCG Station Hatteras, NC",2016-01-30T12:00:00Z,MLLW,8.345,35.2086,-75.7042,0;0;0;0,A1,0.004,8654467,0.227,True
"Beaufort, NC",2016-01-30T12:00:00Z,MLLW,0.562,34.72,-76.67,0;0;0;0,A1,0.003,8656483,0.421,True
"Wilmington, NC",2016-01-30T12:00:00Z,MLLW,0.747,34.2275,-77.9536,0;0;0;0,A1,0.012,8658120,0.319,True
"Wrightsville Beach, NC",2016-01-30T12:00:00Z,MLLW,5.793,34.21,-77.7867,0;0;0;0,A1,0.084,8658163,0.576,False
"Springmaid Pier, SC",2016-01-30T12:00:00Z,MLLW,8.928,33.655,-78.9183,0;0;0;0,A1,0.064,8661070,0.666,False
"Oyster Landing (N Inlet Estuary), SC",2016-01-30T12:00:00Z,MLLW,1.215,33.3517,-79.1867,0;0;0;0,A1,0.004,8662245,0.492,False
"Charleston, SC",2016-01-30T12:00:00Z,MLLW,0.843,32.7817,-79.925,0;0;0;0,A1,0.004,8665530,0.491,False
"Fort Pulaski, GA",2016-01-30T12:00:00Z,MLLW,1.066,32.0367,-80.9017,0;0;0;0,A1,0.004,8670870,0.489,False
"Fernandina Beach, FL",2016-01-30T12:00:00Z,MLLW,0.518,30.6714,-81.4658,0;0;0;0,Y1,0.004,8720030,0.304,False
"Mayport (Bar Pilots Dock), FL",2016-01-30T12:00:00Z,MLLW,2.763,30.3981,-81.4278,0;0;0;0,A1,0.003,8720218,0.324,False
"Dames Point, FL",2016-01-30T12:00:00Z,MLLW,1.151,30.3872,-81.5592,0;0;0;0,A1,0.006,8720219,0.205,False
"Southbank Riverwalk, St Johns River, FL",2016-01-30T12:00:00Z,MLLW,-0.418,30.32,-81.6583,0;0;0;0,Y1,0.002,8720226,0.191,False
"I-295 Bridge, St Johns River, FL",2016-01-30T12:00:00Z,MLLW,-0.198,30.1925,-81.6889,0;0;0;0,B1,0.001,8720357,0.162,False
"Red Bay Point, St Johns River, FL",2016-01-30T12:00:00Z,MLLW,-0.175,29.9783,-81.6283,0;0;0;0,Y1,0.003,8720503,0.265,False
"Racy Point, St Johns River, FL",2016-01-30T12:00:00Z,MLLW,-0.191,29.8017,-81.5483,0;0;0;0,A1,0.0,8720625,0.4,False
"Trident Pier, FL",2016-01-30T12:00:00Z,MLLW,5.48,28.4158,-80.5931,0;0;0;0,A1,0.01,8721604,0.476,False
"Lake Worth Pier, FL",2016-01-30T12:00:00Z,MLLW,9.142,26.6117,-80.0333,0;0;0;0,A1,0.074,8722670,0.413,False
"Virginia Key, FL",2016-01-30T12:00:00Z,MLLW,3.096,25.7314,-80.1617,0;0;0;0,A1,0.007,8723214,0.247,False
