name,date_time,datum,height,lat,lon,quality_flags,sensor,sigma,station,water_surface_height_above_reference_datum,bad_station
"Duck, NC",2015-10-31T12:00:00Z,MLLW,5.663,36.1831,-75.7467,0;0;0;0,A1,0.207,8651370,0.706,False
"Oregon Inlet Marina, NC",2015-10-31T12:00:00Z,MLLW,0.788,35.7942,-75.5481,0;0;0;0,A1,0.001,8652587,0.295,False
"USCG Station Hatteras, NC",2015-10-31T12:00:00Z,MLLW,8.345,35.2086,-75.7042,0;0;0;0,A1,0.002,8654467,0.336,True
"Beaufort, NC",2015-10-31T12:00:00Z,MLLW,0.562,34.72,-76.67,0;0;0;0,A1,0.005,8656483,0.667,True
"Wilmington, NC",2015-10-31T12:00:00Z,MLLW,0.747,34.2267,-77.9533,0;0;0;0,A1,0.003,8658120,0.153,True
"Wrightsville Beach, NC",2015-10-31T12:00:00Z,MLLW,5.793,34.21,-77.7867,0;0;0;0,A1,0.123,8658163,0.964,False
"Springmaid Pier, SC",2015-10-31T12:00:00Z,MLLW,8.928,33.655,-78.9183,0;0;0;0,A1,0.07,8661070,1.147,False
"Oyster Landing (N Inlet Estuary), SC",2015-10-31T12:00:00Z,MLLW,1.215,33.3517,-79.1867,0;0;0;0,A1,0.004,8662245,0.765,False
"Charleston, SC",2015-10-31T12:00:00Z,MLLW,0.843,32.7817,-79.925,0;0;0;0,A1,0.008,8665530,1.061,False
"Fort Pulaski, GA",2015-10-31T12:00:00Z,MLLW,1.066,32.0367,-80.9017,0;0;0;0,A1,0.013,8670870,1.07,False
"Fernandina Beach, FL",2015-10-31T12:00:00Z,MLLW,0.518,30.6714,-81.4658,0;0;0;0,A1,0.006,8720030,0.726,False
"Mayport (Bar Pilots Dock), FL",2015-10-31T12:00:00Z,MLLW,2.763,30.3981,-81.4278,0;0;0;0,A1,0.005,8720218,0.683,False
"Dames Point, FL",2015-10-31T12:00:00Z,MLLW,1.151,30.3872,-81.5592,0;0;0;0,A1,0.004,8720219,0.316,False
"Southbank Riverwalk, St Johns River, FL",2015-10-31T12:00:00Z,MLLW,-0.418,30.32,-81.6583,0;0;0;0,Y1,0.002,8720226,0.252,False
"I-295 Bridge, St Johns River, FL",2015-10-31T12:00:00Z,MLLW,-0.198,30.1925,-81.6889,0;0;0;0,A1,0.001,8720357,0.297,False
"Red Bay Point, St Johns River, FL",2015-10-31T12:00:00Z,MLLW,-0.175,29.9783,-81.6283,0;0;0;0,Y1,0.002,8720503,0.345,False
"Racy Point, St Johns River, FL",2015-10-31T12:00:00Z,MLLW,-0.191,29.8017,-81.5483,0;0;0;0,A1,0.001,8720625,0.473,False
"Trident Pier, FL",2015-10-31T12:00:00Z,MLLW,5.48,28.4158,-80.5931,0;0;0;0,A1,0.008,8721604,0.755,False
"Lake Worth Pier, FL",2015-10-31T12:00:00Z,MLLW,9.142,26.6117,-80.0333,0;0;0;0,A1,0.09,8722670,0.598,False
"Virginia Key, FL",2015-10-31T12:00:00Z,MLLW,3.096,25.7314,-80.1617,0;0;0;0,A1,0.003,8723214,0.305,False
"Vaca Key, FL",2015-10-31T12:00:00Z,MLLW,0.775,24.7106,-81.1064,0;0;0;0,A1,0.002,8723970,0.333,False
"Key West, FL",2015-10-31T12:00:00Z,MLLW,1.39,24.5558,-81.8078,0;0;0;0,A1,0.008,8724580,0.211,False
