name,date_time,datum,height,lat,lon,quality_flags,sensor,sigma,station,water_surface_height_above_reference_datum,bad_station
"Duck, NC",2016-02-06T12:00:00Z,MLLW,5.663,36.1831,-75.7467,0;0;0;0,A1,0.244,8651370,1.041,False
"Oregon Inlet Marina, NC",2016-02-06T12:00:00Z,MLLW,0.788,35.7942,-75.5481,1;0;0;0,A1,0.005,8652587,0.421,False
"USCG Station Hatteras, NC",2016-02-06T12:00:00Z,MLLW,8.345,35.2086,-75.7042,0;0;0;0,A1,0.012,8654467,0.446,True
"Beaufort, NC",2016-02-06T12:00:00Z,MLLW,0.562,34.72,-76.67,0;0;0;0,A1,0.004,8656483,1.124,True
"Wilmington, NC",2016-02-06T12:00:00Z,MLLW,0.747,34.2275,-77.9536,1;0;0;0,A1,0.004,8658120,1.634,True
"Wrightsville Beach, NC",2016-02-06T12:00:00Z,MLLW,5.793,34.21,-77.7867,1;0;0;0,A1,0.1,8658163,1.309,False
"Springmaid Pier, SC",2016-02-06T12:00:00Z,MLLW,8.928,33.655,-78.9183,1;0;0;0,A1,0.088,8661070,1.531,False
"Oyster Landing (N Inlet Estuary), SC",2016-02-06T12:00:00Z,MLLW,1.215,33.3517,-79.1867,0;0;0;0,A1,0.002,8662245,1.687,False
"Charleston, SC",2016-02-06T12:00:00Z,MLLW,0.843,32.7817,-79.925,0;0;0;0,A1,0.011,8665530,1.822,False
"Fort Pulaski, GA",2016-02-06T12:00:00Z,MLLW,1.066,32.0367,-80.9017,1;0;0;0,A1,0.005,8670870,2.398,False
"Fernandina Beach, FL",2016-02-06T12:00:00Z,MLLW,0.518,30.6714,-81.4658,0;0;0;0,Y1,0.009,8720030,2.2,False
"Mayport (Bar Pilots Dock), FL",2016-02-06T12:00:00Z,MLLW,2.763,30.3981,-81.4278,1;0;0;0,A1,0.008,8720218,1.677,False
"Dames Point, FL",2016-02-06T12:00:00Z,MLLW,1.151,30.3872,-81.5592,1;0;0;0,A1,0.001,8720219,1.213,False
"Southbank Riverwalk, St Johns River, FL",2016-02-06T12:00:00Z,MLLW,-0.418,30.32,-81.6583,0;0;0;0,Y1,0.004,8720226,0.631,False
"I-295 Bridge, St Johns River, FL",2016-02-06T12:00:00Z,MLLW,-0.198,30.1925,-81.6889,1;0;0;0,A1,0.001,8720357,0.322,False
"Red Bay Point, St Johns River, FL",2016-02-06T12:00:00Z,MLLW,-0.175,29.9783,-81.6283,0;0;0;0,Y1,0.012,8720503,0.185,False
"Racy Point, St Johns River, FL",2016-02-06T12:00:00Z,MLLW,-0.191,29.8017,-81.5483,1;0;0;0,A1,0.02,8720625,0.111,False
"Trident Pier, FL",2016-02-06T12:00:00Z,MLLW,5.48,28.4158,-80.5931,1;0;0;0,A1,0.007,8721604,1.308,False
"Lake Worth Pier, FL",2016-02-06T12:00:00Z,MLLW,9.142,26.6117,-80.0333,1;0;0;0,A1,0.144,8722670,1.03,False
"Virginia Key, FL",2016-02-06T12:00:00Z,MLLW,3.096,25.7314,-80.1617,1;0;0;0,B1,0.013,8723214,0.786,False
"Vaca Key, FL",2016-02-06T12:00:00Z,MLLW,0.775,24.7106,-81.1064,0;0;0;0,A1,0.001,8723970,0.153,False
"Key West, FL",2016-02-06T12:00:00Z,MLLW,1.39,24.5558,-81.8078,0;0;0;0,A1,0.012,8724580,0.424,False
"Fort Myers, FL",2016-02-06T12:00:00Z,MLLW,1.329,26.6475,-81.8711,1;0;0;0,A1,0.001,8725520,0.087,False
"Port Manatee, FL",2016-02-06T12:00:00Z,MLLW,0.062,27.6364,-82.5628,1;0;0;0,A1,0.027,8726384,-0.05,False
"St Petersburg, FL",2016-02-06T12:00:00Z,MLLW,1.028,27.7611,-82.6269,0;0;0;0,Y1,0.003,8726520,-0.098,True
"Old Port Tampa, FL",2016-02-06T12:00:00Z,MLLW,8.621,27.8578,-82.5519,1;0;0;0,B1,0.005,8726607,-0.113,True
"Mckay Bay Entrance, FL",2016-02-06T12:00:00Z,MLLW,0.081,27.9136,-82.4244,0;0;0;0,A1,0.006,8726667,-0.114,False
"Clearwater Beach, FL",2016-02-06T12:00:00Z,MLLW,0.528,27.9781,-82.8317,0;0;0;0,A1,0.052,8726724,0.218,False
"Cedar Key, FL",2016-02-06T12:00:00Z,MLLW,0.55,29.1344,-83.0311,1;0;0;0,A1,0.001,8727520,-0.209,False
"Apalachicola, FL",2016-02-06T12:00:00Z,MLLW,1.307,29.7244,-84.9806,1;0;0;0,A1,0.001,8728690,0.016,False
"Panama City, FL",2016-02-06T12:00:00Z,MLLW,1.019,30.1522,-85.6669,0;0;0;0,A1,0.001,8729108,-0.156,False
"Panama City Beach, FL",2016-02-06T12:00:00Z,MLLW,8.236,30.2139,-85.8786,1;0;0;0,A1,0.015,8729210,-0.146,True
"Pensacola, FL",2016-02-06T12:00:00Z,MLLW,2.569,30.4044,-87.2111,1;0;0;0,A1,0.001,8729840,-0.088,False
Tolomato River station,2016-00-06T12:00:00Z,,,29.9947223663,-81.3295593262,,NA,,fldep.tolomatoriver.,-0.141021922231,False
Bing's Landing station,2016-00-06T12:00:00Z,,,29.6154174805,-81.2049179077,,NA,,fldep.bingslanding.,-0.00466595916077,False
Naples Bay station,2016-00-06T12:00:00Z,,,26.1417789459,-81.7900543213,,NA,,fldep.naplesbay.,-0.0628219842911,False
St Lucie Inlet station,2016-00-06T12:00:00Z,,,27.1652774811,-80.1627807617,,NA,,fldep.stlucieinlet.,-0.237150207162,False
Binney Dock station,2016-00-06T12:00:00Z,,,27.467546463,-80.3008499146,,NA,,fldep.binneydock.,-0.265003532171,False
Ponce De Leon South station,2016-00-06T12:00:00Z,,,29.0634727478,-80.9160842896,,NA,,fldep.poncedeleonsouth.,-0.239107236266,False
