name,station,sensor,lat,lon,date_time,sea_water_temperature,bad_station
"Duck, NC",8651370,E1,36.1833,-75.7467,2015-10-24T12:00:00Z,18.7,False
"Oregon Inlet Marina, NC",8652587,E1,35.795,-75.5483,2015-10-24T12:00:00Z,18.7,False
"USCG Station Hatteras, NC",8654467,E1,35.2086,-75.7042,2015-10-24T12:00:00Z,20.8,False
"Beaufort, NC",8656483,E1,34.72,-76.67,2015-10-24T12:00:00Z,20.0,False
"Wilmington, NC",8658120,E1,34.2267,-77.9533,2015-10-24T12:00:00Z,19.0,False
"Wrightsville Beach, NC",8658163,E1,34.2133,-77.7867,2015-10-24T12:00:00Z,22.2,False
"Springmaid Pier, SC",8661070,E1,33.655,-78.9183,2015-10-24T12:00:00Z,21.2,False
"Fort Pulaski, GA",8670870,E1,32.0333,-80.9017,2015-10-24T12:00:00Z,21.3,False
"Fernandina Beach, FL",8720030,E1,30.6717,-81.465,2015-10-24T12:00:00Z,22.4,False
"Mayport (Bar Pilots Dock), FL",8720218,E2,30.3967,-81.43,2015-10-24T12:00:00Z,22.7,False
"Dames Point, FL",8720219,E2,30.3867,-81.5583,2015-10-24T12:00:00Z,23.5,False
"Red Bay Point, St Johns River, FL",8720503,E1,29.9783,-81.6283,2015-10-24T12:00:00Z,23.6,False
"Racy Point, St Johns River, FL",8720625,E2,29.8017,-81.5483,2015-10-24T12:00:00Z,23.2,False
"Trident Pier, FL",8721604,E1,28.4158,-80.5931,2015-10-24T12:00:00Z,25.0,False
"Lake Worth Pier, FL",8722670,E1,26.6117,-80.0333,2015-10-24T12:00:00Z,26.4,False
"Virginia Key, FL",8723214,E1,25.7314,-80.1618,2015-10-24T12:00:00Z,25.7,False
"Vaca Key, FL",8723970,E1,24.7117,-81.105,2015-10-24T12:00:00Z,25.7,False
"Key West, FL",8724580,E1,24.5557,-81.8079,2015-10-24T12:00:00Z,26.4,False
"Fort Myers, FL",8725520,E1,26.6477,-81.8712,2015-10-24T12:00:00Z,25.2,False
"Port Manatee, FL",8726384,E1,27.6387,-82.5621,2015-10-24T12:00:00Z,24.9,False
"St Petersburg, FL",8726520,E1,27.7606,-82.6269,2015-10-24T12:00:00Z,26.4,False
"Old Port Tampa, FL",8726607,E1,27.8578,-82.5527,2015-10-24T12:00:00Z,24.4,False
"Mckay Bay Entrance, FL",8726667,E1,27.9133,-82.425,2015-10-24T12:00:00Z,25.3,False
"Clearwater Beach, FL",8726724,E1,27.9783,-82.8317,2015-10-24T12:00:00Z,24.4,False
